Ref,Country,Date online,Status,Technology,Technology_electricity,Technology_electricity_details,Product,Capacity_MWel,Capacity_Nm³ H₂/h,Capacity_kt H2/y,Capacity_t CO₂ captured/y,zero-carbon estimated normalized capacity [Nm³ H₂/hour]
1363,PRY,2024,Feasibility study,ALK,Dedicated renewable,Hydropower,Ammonia,50,10870,8.5,,10870
1364,PRY,2026,Concept,ALK,Dedicated renewable,Hydropower,Ammonia,200,43478,33.9,,43478
1365,ISL,2026,Feasibility study,ALK,Dedicated renewable,Others/Various,H2,30,6522,5.1,,6522
1366,ISL,2026,Feasibility study,ALK,Dedicated renewable,Others/Various,H2,70,15217,11.9,,15217
1368,EGY,2024,Feasibility study,PEM,Dedicated renewable,Others/Various,Ammonia,100,19231,15,,19231
1379,USA,2024,Feasibility study,Biomass,,,H2,,5712,4.5,,5712
1384,AUS,2027,Feasibility study,ALK,Dedicated renewable,Solar PV,H2,372.5,80978,63.1,,80978
1385,AUS,,Concept,ALK,Dedicated renewable,Solar PV,H2,1117.5,242935,189.4,,242935
1389,USA,2024,FID/Construction,PEM,Dedicated renewable,Solar PV,H2,80,15385,12,,15385
1391,ITA,2023,FID/Construction,ALK,Dedicated renewable,Onshore wind,H2,4,870,0.7,,870
1401,FRA,2025,Feasibility study,ALK,Grid,,H2,2,435,0.3,,435
1406,GBR,2026,Feasibility study,PEM,Dedicated renewable,Unknown,H2,40,7692,6,,7692
1410,USA,2025,Feasibility study,PEM,Dedicated renewable,Hydropower,H2,35,6731,5.2,,6731
1411,KOR,2024,FID/Construction,NG w CCUS,,,H2,,2341,1.8,17520,2197
1412,AUS,,Concept,Biomass,,,H2,,,,,0
1416,GBR,2027,Feasibility study,NG w CCUS,,,H2,,224157,174.8,1200000,150452
1418,IND,2023,Operational,PEM,Grid+Renewables,Unknown,MeOH,5,962,0.7,,962
1419,USA,2027,Concept,NG w CCUS,,,Ammonia,,230968,180.1,1800000,225678
1420,AUS,,Feasibility study,ALK,Dedicated renewable,Others/Various,H2,45,9783,7.6,,9783
1424,AUS,2025,Feasibility study,NG w CCUS,,,Ammonia,,277162,216,,0
1425,AUS,,Feasibility study,NG w CCUS,,,H2,,,,,0
1426,GBR,2030,Feasibility study,NG w CCUS,,,H2,,243702,190,1000000,125376
1427,NLD,2024,Feasibility study,NG w CCUS,,,H2,,130000,101,500000,62688
1428,NLD,2024,Feasibility study,NG w CCUS,,,H2,,,,,0
1429,NLD,2024,Feasibility study,Oil w CCUS,,,H2,,,,,0
